epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6451,0.7895,3.24163,1.40143,0.00347,1,0.69676,0.54422,0.2081,2.8669,0.79951,0.0001,0.0001,0.0001
2,83.6707,0.42303,2.08863,1.03816,0.00347,1,0.78124,0.66096,0.32168,2.72119,0.82155,0.00019822,0.00019822,0.00019822
3,117.273,0.37307,1.50728,0.94689,0.00347,1,0.90113,0.7281,0.44177,2.77855,0.96758,0.00027268,0.00027268,0.00027268
4,148.33,0.37914,1.45531,0.96986,0.00927,0.96,0.91722,0.78679,0.49286,2.76281,0.99981,0.00032338,0.00032338,0.00032338
5,181.252,0.40794,1.35991,0.97374,0.28749,0.96,0.82278,0.63932,0.75565,2.8695,1.15944,0.00035032,0.00035032,0.00035032
6,217.534,0.38326,1.27495,0.9871,0.84496,0.32,0.72173,0.59431,0.70898,2.69549,1.2156,0.0003535,0.0003535,0.0003535
7,277.541,0.37824,1.21294,0.95514,1,0.55623,0.95496,0.80003,0.61205,2.52189,1.19963,0.00033292,0.00033292,0.00033292
