epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1563.74,1.32644,1.7319,1.27469,0.83778,0.78446,0.83842,0.55309,1.1913,1.33304,1.193,0.00047492,0.00047492,0.00047492
2,4232.61,1.35276,1.34074,1.29981,0.85181,0.75159,0.83943,0.54923,1.2406,1.20493,1.28421,0.000833536,0.000833536,0.000833536
3,5620.58,1.34391,1.22763,1.29709,0.84437,0.81055,0.8672,0.58225,1.17645,1.04017,1.20899,0.00107426,0.00107426,0.00107426
4,7008.39,1.30162,1.13865,1.27724,0.8745,0.81674,0.88176,0.61792,1.09774,0.90108,1.17896,0.000898484,0.000898484,0.000898484
5,8397.37,1.24834,1.05169,1.25133,0.91506,0.85182,0.90955,0.65833,1.02303,0.77089,1.12048,0.000721645,0.000721645,0.000721645
6,9785.31,1.20204,0.9811,1.21988,0.90714,0.85456,0.90834,0.66946,0.96808,0.71529,1.08351,0.000544806,0.000544806,0.000544806
7,11172.1,1.15624,0.908,1.19404,0.92689,0.86296,0.9205,0.69006,0.94465,0.67494,1.06809,0.000367967,0.000367967,0.000367967
8,12560.2,1.13351,0.88004,1.17636,0.92156,0.88054,0.92836,0.71082,0.89216,0.63049,1.03212,0.000191129,0.000191129,0.000191129
